ID,Company Name,Slug,Website,HQ / Primary Office,Country / Region,Regulatory / License Notes,FluidRWA Segment,Services Offered,Asset Classes / Use Cases,Digital Asset / Tokenization Signal,Best For,Investor Types Served,Geographic Coverage,Likely Minimum Deal Size,FluidRWA Priority,Criteria Met,Verification Status,Suggested Listing Description,Source URLs,Codex Add?,Manual Notes
1,Securitize Markets,securitize-markets,https://securitize.io,"Miami, FL",United States,"SEC/FINRA broker-dealer, ATS, transfer agent ecosystem",Digital Securities / Tokenization,"Tokenized securities issuance, placement, transfer agent, marketplace, secondary trading","Digital securities, tokenized funds, tokenized equity, private markets, RWAs",Tokenization experienced; prominent RWA securities platform,"Issuers raising capital with tokenized funds, equity, credit or real-world assets","Institutional investors, accredited investors, financial advisors, family offices",Primarily United States,Not publicly standardized; verify with firm,High,regulated/licensed capital markets entity; relevant to private markets/RWA distribution; high buyer-fit for FluidRWA,Public website checked; regulatory status must be verified in FINRA BrokerCheck/SEC IAPD or local regulator before publishing,"Securitize Markets is a digital securities / tokenization candidate for FluidRWA's broker-dealer and capital distribution category. It may be relevant for issuers raising capital with tokenized funds, equity, credit or real-world assets, with services including tokenized securities issuance, placement, transfer agent, marketplace, secondary trading.",https://securitize.io | https://brokercheck.finra.org/ | https://adviserinfo.sec.gov/ | https://www.sipc.org/list-of-members/,Yes,"Verify licensing, active registration, disciplinary history, jurisdiction and whether they accept RWA/tokenization mandates before outreach."
2,INX Securities,inx-securities,https://www.inx.co,"New York, NY",United States,US broker-dealer / ATS ecosystem,Digital Securities / Tokenization,"Security token offerings, digital securities trading, capital markets access","Digital securities, tokenized funds, tokenized equity, private markets, RWAs",Digital securities and security token marketplace,Security token issuers and investors needing regulated access,"Institutional investors, accredited investors, financial advisors, family offices",Primarily United States,Not publicly standardized; verify with firm,High,regulated/licensed capital markets entity; relevant to private markets/RWA distribution; high buyer-fit for FluidRWA,Public website checked; regulatory status must be verified in FINRA BrokerCheck/SEC IAPD or local regulator before publishing,"INX Securities is a digital securities / tokenization candidate for FluidRWA's broker-dealer and capital distribution category. It may be relevant for security token issuers and investors needing regulated access, with services including security token offerings, digital securities trading, capital markets access.",https://www.inx.co | https://brokercheck.finra.org/ | https://adviserinfo.sec.gov/ | https://www.sipc.org/list-of-members/,Yes,"Verify licensing, active registration, disciplinary history, jurisdiction and whether they accept RWA/tokenization mandates before outreach."
3,tZERO Securities,tzero-securities,https://www.tzero.com,"New York, NY",United States,US broker-dealer / ATS ecosystem,Digital Securities / Tokenization,"Digital securities trading, ATS, private market liquidity","Digital securities, tokenized funds, tokenized equity, private markets, RWAs",Digital securities secondary market focus,Private securities issuers looking for secondary liquidity,"Institutional investors, accredited investors, financial advisors, family offices",Primarily United States,Not publicly standardized; verify with firm,High,regulated/licensed capital markets entity; relevant to private markets/RWA distribution; high buyer-fit for FluidRWA,Public website checked; regulatory status must be verified in FINRA BrokerCheck/SEC IAPD or local regulator before publishing,"tZERO Securities is a digital securities / tokenization candidate for FluidRWA's broker-dealer and capital distribution category. It may be relevant for private securities issuers looking for secondary liquidity, with services including digital securities trading, ats, private market liquidity.",https://www.tzero.com | https://brokercheck.finra.org/ | https://adviserinfo.sec.gov/ | https://www.sipc.org/list-of-members/,Yes,"Verify licensing, active registration, disciplinary history, jurisdiction and whether they accept RWA/tokenization mandates before outreach."
4,Texture Capital,texture-capital,https://texture.capital,"New York, NY",United States,US broker-dealer / ATS,Digital Securities / Tokenization,"Digital securities issuance, capital raising, ATS trading","Digital securities, tokenized funds, tokenized equity, private markets, RWAs",Tokenization-focused broker-dealer,"Growth companies, funds and private securities issuers","Institutional investors, accredited investors, financial advisors, family offices",Primarily United States,Not publicly standardized; verify with firm,High,regulated/licensed capital markets entity; relevant to private markets/RWA distribution; high buyer-fit for FluidRWA,Public website checked; regulatory status must be verified in FINRA BrokerCheck/SEC IAPD or local regulator before publishing,"Texture Capital is a digital securities / tokenization candidate for FluidRWA's broker-dealer and capital distribution category. It may be relevant for growth companies, funds and private securities issuers, with services including digital securities issuance, capital raising, ats trading.",https://texture.capital | https://brokercheck.finra.org/ | https://adviserinfo.sec.gov/ | https://www.sipc.org/list-of-members/,Yes,"Verify licensing, active registration, disciplinary history, jurisdiction and whether they accept RWA/tokenization mandates before outreach."
5,Oasis Pro Markets,oasis-pro-markets,https://www.oasispromarkets.com,"New York, NY",United States,US broker-dealer / ATS,Digital Securities / Tokenization,"Digital securities ATS, private placements, capital raising","Digital securities, tokenized funds, tokenized equity, private markets, RWAs",Digital asset securities and tokenized asset marketplace,Tokenized securities issuers,"Institutional investors, accredited investors, financial advisors, family offices",Primarily United States,Not publicly standardized; verify with firm,High,regulated/licensed capital markets entity; relevant to private markets/RWA distribution; high buyer-fit for FluidRWA,Public website checked; regulatory status must be verified in FINRA BrokerCheck/SEC IAPD or local regulator before publishing,"Oasis Pro Markets is a digital securities / tokenization candidate for FluidRWA's broker-dealer and capital distribution category. It may be relevant for tokenized securities issuers, with services including digital securities ats, private placements, capital raising.",https://www.oasispromarkets.com | https://brokercheck.finra.org/ | https://adviserinfo.sec.gov/ | https://www.sipc.org/list-of-members/,Yes,"Verify licensing, active registration, disciplinary history, jurisdiction and whether they accept RWA/tokenization mandates before outreach."
6,Prometheum,prometheum,https://www.prometheum.com,"New York, NY",United States,US special purpose broker-dealer / digital asset securities,Digital Securities / Tokenization,Digital asset securities custody and trading infrastructure,"Digital securities, tokenized funds, tokenized equity, private markets, RWAs",Digital asset securities specialist,Regulated digital asset securities market access,"Institutional investors, accredited investors, financial advisors, family offices",Primarily United States,Not publicly standardized; verify with firm,High,regulated/licensed capital markets entity; relevant to private markets/RWA distribution; high buyer-fit for FluidRWA,Public website checked; regulatory status must be verified in FINRA BrokerCheck/SEC IAPD or local regulator before publishing,"Prometheum is a digital securities / tokenization candidate for FluidRWA's broker-dealer and capital distribution category. It may be relevant for regulated digital asset securities market access, with services including digital asset securities custody and trading infrastructure.",https://www.prometheum.com | https://brokercheck.finra.org/ | https://adviserinfo.sec.gov/ | https://www.sipc.org/list-of-members/,Yes,"Verify licensing, active registration, disciplinary history, jurisdiction and whether they accept RWA/tokenization mandates before outreach."
7,Republic,republic,https://republic.com,"New York, NY",United States,Broker-dealer / funding portal ecosystem,Capital Raising Platform,"Online capital raising, private investments, alternative assets","Private securities, funds, alternatives, capital markets, real-world assets where applicable",Some digital asset and private market exposure,"Startups, private companies and community-led offerings","Institutional investors, accredited investors, financial advisors, family offices",Primarily United States,Not publicly standardized; verify with firm,Medium,regulated/licensed capital markets entity,Public website checked; regulatory status must be verified in FINRA BrokerCheck/SEC IAPD or local regulator before publishing,"Republic is a capital raising platform candidate for FluidRWA's broker-dealer and capital distribution category. It may be relevant for startups, private companies and community-led offerings, with services including online capital raising, private investments, alternative assets.",https://republic.com | https://brokercheck.finra.org/ | https://adviserinfo.sec.gov/ | https://www.sipc.org/list-of-members/,Yes,"Verify licensing, active registration, disciplinary history, jurisdiction and whether they accept RWA/tokenization mandates before outreach."
8,Dalmore Group,dalmore-group,https://dalmorefg.com,"New York, NY",United States,US broker-dealer,Capital Raising Platform,"Reg A, Reg D, Reg CF support, online offerings, private placements","Private securities, funds, alternatives, capital markets, real-world assets where applicable",Popular with online capital raising platforms,Reg A and private markets issuers,"Institutional investors, accredited investors, financial advisors, family offices",Primarily United States,Not publicly standardized; verify with firm,High,regulated/licensed capital markets entity; high buyer-fit for FluidRWA,Public website checked; regulatory status must be verified in FINRA BrokerCheck/SEC IAPD or local regulator before publishing,"Dalmore Group is a capital raising platform candidate for FluidRWA's broker-dealer and capital distribution category. It may be relevant for reg a and private markets issuers, with services including reg a, reg d, reg cf support, online offerings, private placements.",https://dalmorefg.com | https://brokercheck.finra.org/ | https://adviserinfo.sec.gov/ | https://www.sipc.org/list-of-members/,Yes,"Verify licensing, active registration, disciplinary history, jurisdiction and whether they accept RWA/tokenization mandates before outreach."
9,North Capital Private Securities,north-capital-private-securities,https://www.northcapital.com,"Salt Lake City, UT",United States,US broker-dealer,Capital Raising Platform,"Private placements, escrow, transaction tech, alternative investments","Private securities, funds, alternatives, capital markets, real-world assets where applicable",Private securities and alternatives infrastructure,"Private funds, issuers and investment platforms","Institutional investors, accredited investors, financial advisors, family offices",Primarily United States,Not publicly standardized; verify with firm,High,regulated/licensed capital markets entity; high buyer-fit for FluidRWA,Public website checked; regulatory status must be verified in FINRA BrokerCheck/SEC IAPD or local regulator before publishing,"North Capital Private Securities is a capital raising platform candidate for FluidRWA's broker-dealer and capital distribution category. It may be relevant for private funds, issuers and investment platforms, with services including private placements, escrow, transaction tech, alternative investments.",https://www.northcapital.com | https://brokercheck.finra.org/ | https://adviserinfo.sec.gov/ | https://www.sipc.org/list-of-members/,Yes,"Verify licensing, active registration, disciplinary history, jurisdiction and whether they accept RWA/tokenization mandates before outreach."
10,WealthForge Securities,wealthforge-securities,https://www.wealthforge.com,"Richmond, VA",United States,US broker-dealer,Capital Raising Platform,"Private placement execution, due diligence workflows, subscription processing","Private securities, funds, alternatives, capital markets, real-world assets where applicable",Alternative investment transaction infrastructure,Private funds and alternative investment sponsors,"Institutional investors, accredited investors, financial advisors, family offices",Primarily United States,Not publicly standardized; verify with firm,High,regulated/licensed capital markets entity; high buyer-fit for FluidRWA,Public website checked; regulatory status must be verified in FINRA BrokerCheck/SEC IAPD or local regulator before publishing,"WealthForge Securities is a capital raising platform candidate for FluidRWA's broker-dealer and capital distribution category. It may be relevant for private funds and alternative investment sponsors, with services including private placement execution, due diligence workflows, subscription processing.",https://www.wealthforge.com | https://brokercheck.finra.org/ | https://adviserinfo.sec.gov/ | https://www.sipc.org/list-of-members/,Yes,"Verify licensing, active registration, disciplinary history, jurisdiction and whether they accept RWA/tokenization mandates before outreach."
